id,ticker,timestamp,end_period_ts,open_interest,volume,price_open,price_close,price_high,price_low,price_mean,yes_ask_open,yes_ask_close,yes_ask_high,yes_ask_low,yes_bid_open,yes_bid_close,yes_bid_high,yes_bid_low,created_at
19365,KXNYSECIRCUIT-26,2025-10-30 17:36:00+00,1761845760,73133,794,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,7.000000,6.000000,7.000000,7.000000,6.000000,2025-10-30 18:24:05.433419+00
19357,KXNYSECIRCUIT-26,2025-10-30 17:15:00+00,1761844500,72339,562,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,7.000000,5.000000,5.000000,5.000000,5.000000,2025-10-30 18:24:05.433419+00
19355,KXNYSECIRCUIT-26,2025-10-30 17:11:00+00,1761844260,71782,48,6.000000,6.000000,6.000000,6.000000,6.000000,7.000000,7.000000,7.000000,7.000000,6.000000,5.000000,6.000000,5.000000,2025-10-30 18:24:05.433419+00
19353,KXNYSECIRCUIT-26,2025-10-30 17:08:00+00,1761844080,71782,2,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,7.000000,8.000000,7.000000,7.000000,6.000000,7.000000,6.000000,2025-10-30 18:24:05.433419+00
19347,KXNYSECIRCUIT-26,2025-10-30 16:46:00+00,1761842760,71780,198,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,8.000000,8.000000,7.000000,6.000000,7.000000,7.000000,6.000000,2025-10-30 18:24:05.433419+00
19345,KXNYSECIRCUIT-26,2025-10-30 16:44:00+00,1761842640,71599,277,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,7.000000,7.000000,6.000000,5.000000,6.000000,6.000000,5.000000,2025-10-30 18:24:05.433419+00
19322,KXNYSECIRCUIT-26,2025-10-30 16:11:00+00,1761840660,71322,15,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-30 18:24:05.433419+00
18258,KXNYSECIRCUIT-26,2025-10-30 13:13:00+00,1761829980,71307,78,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-30 15:26:01.663723+00
18251,KXNYSECIRCUIT-26,2025-10-30 12:31:00+00,1761827460,71229,52,5.000000,5.000000,5.000000,5.000000,5.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-30 15:26:01.663723+00
15858,KXNYSECIRCUIT-26,2025-10-30 04:12:00+00,1761797520,71229,492,5.000000,5.000000,5.000000,5.000000,5.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-30 09:49:07.625982+00
