slug,tokenid1,tokenid2,conditionId
xi-jinping-out-in-2025,114304586861386186441621124384163963092522056897081085884483958561365015034812,112744882674787019048577842008042029962234998947364561417955402912669471494485,0xf2ce8d3897ac5009a131637d3575f1f91c579bd08eecce6ae2b2da0f32bbe6f1
israel-x-hamas-ceasefire-cancelled-by-december-31,47473183887643968267047629057209430852417305625298524874632155488635479806747,45779447635526396799045415939400940780468686738380581787431875597142282109587,0xbc19cb5c84d57f2fed2b089a1634d63d7ad608da3100f5006c00782db44453d1
us-x-venezuela-military-engagement-by-december-31-391-819-722,58194798786674267467235696472878300864943462064955274098210719743062794563955,86127053351389280317665592955308422023136163174658857021506191296325242966070,0x62b0cd598091a179147acbd4616400f804acfdff6f76f029944b481b37cbd45f
russia-x-ukraine-ceasefire-in-2025,15974786252393396629980467963784550802583781222733347534844974829144359265969,42351579455604873042957090441032286075880144797259231030267680078160718556927,0x8ee2f1640386310eb5e7ffa596ba9335f2d324e303d21b0dfea6998874445791
will-trump-meet-with-putin-by-december-31-157,54443791163475307695238529835526401448259679457783917862775033043535379578184,55974366657597755371068524619727549828174999022278064763312724516630330720484,0xf8ad779f49fc9051a44de57a22b2ffe8608b0a2a7de46f728cbd6bce81a5bc54
first-to-5k-gold-or-eth,37902884120561856159354666911594986421517777792635262864250023116967352650864,109393977968431223916658147422584374037783147556547837142618929515488700202429,0x1fbeca90a39253081b032a9990da1cb5b25573d4e213327b5b0f0c222b05be6a
us-forces-in-venezuela-by-december-31-572,95526149185035768082913130591632540682913103274076888736340190863199148645190,33993014765883444294923112425562450354011233942945722983430039072023620326335,0x467176b3079c10574bef26546e834f5d3c1551bada9ec1d43ee5814651a0baf9
us-recession-by-end-of-2026,100379208559626151022751801118534484742123694725746262280150222742563282755057,113732820231608904682346496304917888352004831436510840986547065248348999143469,0xfdc73f10edf0266756686f35b5712cffa828b0940fc015e0426c76c934c2105d
russia-x-ukraine-ceasefire-by-march-31-2026,24394670903706558879845790079760859552309100903651562795058188175118941818512,82991837887127223585838300135823820957946688171642633953055760547186260528157,0x1d54eb5eac2cee8f595f3097c65da7d07f8ab5dee63d7c0c6883eb70e1e9af30
russia-x-ukraine-ceasefire-before-2027,104071616575689490708756996503755160411785604144351427331378560378097635400347,27911616648163853231017805596118911526202185567944724228908312975649746722206,0xaeea5f917fc5746387b5f9c0a4263dba035dbb3f0ac6ad72bf92183d21e26739
putin-out-before-2027,350977769852917329387037893294763093471844346281449484439085576212613048126,87073899845581463485186346288398658568334162612963837182986759797304993556208,0x6bd56627aa21311850825edb27e53434a0e17a4f782be0086bc07f71eee00d0d
will-china-invade-taiwan-before-2027,94559586571241563470235664821564670251180951772614764383113614156422396181162,90772332434487149264114862115632028379978765245278600275169585501290867536237,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4
xi-jinping-out-before-2027,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7
nyse-marketwide-circuit-breaker-in-2025,23884806553565044648084565942074350755069672213222801061783741996020655635513,21621757508232005680225682543688771416015005319520252137212829184705110927970,0x88fad6af135ca7cbd55a8bda5a1243125ded68b1e521066009cc990b13960b88
major-us-bank-bailout-in-2025,43517464021875839716921813218503830908530655976163499455005835852618985686326,87792450881523546724093693087007760129168913572052580982166176445195073519869,0x8e92751b30e2fa4db04f775006743498512526a027dc4e11d9069404471b644b
